60	63.6	53.4	45.4	39.2	34.3	30.6	27.8	25.7	24.1	22.9	22.1	21.5	21	20.7	20.5	20.3	20.2	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
120	109.2	93.7	80.8	69.8	60.6	52.9	46.5	41.3	37	33.4	30.6	28.3	26.5	25	23.9	23	22.3	21.7	21.3	21	20.7	20.5	20.4	20.3	20.2	20.2	20.1	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
180	147.1	126.8	110.6	97.5	86.1	76.2	67.6	60.1	53.6	48.1	43.4	39.3	35.9	33.1	30.7	28.7	27	25.7	24.5	23.6	22.9	22.3	21.8	21.4	21.1	20.9	20.7	20.5	20.4	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20
240	194.6	161	138.3	121.8	108.2	96.9	86.9	78.1	70.2	63.3	57.1	51.8	47.1	43	39.5	36.4	33.8	31.6	29.6	28	26.6	25.5	24.5	23.7	23	22.4	22	21.6	21.3	21	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20
300	242.3	204.3	171.8	146.6	129.9	116.1	104.5	94.6	85.8	77.8	70.7	64.3	58.7	53.6	49.1	45.2	41.7	38.6	36	33.6	31.6	29.8	28.3	27	25.9	24.9	24.1	23.4	22.8	22.4	21.9	21.3	20.9	20.6	20.4	20.2	20.1	20.1	20.1	20	20	20	20	20	20	20
360	287.6	246.2	210.3	179.2	153	135.8	122.1	110.3	100.4	91.7	83.7	76.6	70.1	64.2	59	54.3	50.1	46.3	42.9	40	37.3	35	33	31.2	29.6	28.2	27	26	25.1	24.3	23.6	22.6	21.8	21.2	20.8	20.6	20.4	20.3	20.2	20.1	20.1	20	20	20	20	20
420	329.9	285.4	246.8	213	183.4	157.7	139.9	126.5	114.8	104.8	96.2	88.3	81.2	74.7	68.8	63.5	58.6	54.2	50.3	46.7	43.6	40.7	38.1	35.9	33.9	32.1	30.5	29.1	27.9	26.8	25.8	24.3	23.1	22.2	21.6	21.1	20.8	20.5	20.4	20.3	20.2	20.1	20.1	20.1	20	20
480	369	322	281.1	245.1	213.4	185.3	160.7	142.6	129.5	118.1	108.2	99.6	92	84.9	78.5	72.6	67.2	62.3	57.8	53.7	50	46.7	43.7	41	38.6	36.4	34.4	32.7	31.1	29.7	28.5	26.4	24.8	23.6	22.6	21.9	21.4	21	20.7	20.5	20.4	20.3	20.2	20.1	20.1	20.1
540	405	356	313.1	275.3	241.8	212	185.4	162	144.3	131.5	120.4	110.7	102.2	94.7	87.8	81.4	75.6	70.2	65.3	60.8	56.7	52.9	49.5	46.4	43.5	41	38.7	36.6	34.7	33	31.5	28.9	26.8	25.2	23.9	23	22.2	21.6	21.2	20.9	20.6	20.5	20.4	20.3	20.2	20.2
600	437.9	387.3	342.8	303.5	268.5	237.3	209.3	184.3	162.1	145	132.7	121.9	112.5	104.1	96.8	90	83.8	78	72.7	67.8	63.3	59.2	55.4	51.9	48.7	45.8	43.1	40.7	38.5	36.5	34.7	31.7	29.1	27.1	25.5	24.2	23.2	22.5	21.9	21.4	21	20.8	20.6	20.5	20.4	20.4
660	467.8	416.2	370.4	329.9	293.6	261.2	232.1	205.8	182.2	161.2	145	133.2	122.8	113.6	105.5	98.4	91.8	85.7	80	74.7	69.9	65.4	61.3	57.5	53.9	50.7	47.8	45.1	42.6	40.3	38.2	34.7	31.7	29.3	27.3	25.7	24.5	23.5	22.7	22.1	21.6	21.2	21	20.8	20.7	20.7
720	495.1	442.7	396.1	354.4	317.2	283.7	253.6	226.4	201.7	179.4	159.5	144.5	133.2	123.2	114.3	106.4	99.4	93	87.1	81.5	76.4	71.6	67.1	63	59.2	55.7	52.5	49.5	46.8	44.2	41.9	37.8	34.5	31.6	29.3	27.4	25.9	24.6	23.7	22.9	22.3	21.8	21.5	21.2	21.1	21.1
780	520	467.1	419.9	377.4	339.3	305	273.9	245.8	220.3	197.2	176.2	157.4	143.5	132.8	123.2	114.6	106.9	100.1	93.9	88.1	82.7	77.7	73	68.6	64.5	60.7	57.2	54	51	48.2	45.7	41.2	37.4	34.2	31.5	29.3	27.5	26	24.8	23.8	23.1	22.5	22.1	21.8	21.6	21.6
840	542.8	489.5	441.9	398.8	360	324.9	293.2	264.3	238.1	214.1	192.3	172.5	155	142.2	132	122.8	114.5	107.2	100.6	94.5	88.9	83.6	78.7	74	69.7	65.7	62	58.5	55.3	52.3	49.5	44.6	40.4	36.8	33.8	31.3	29.2	27.5	26.1	25	24.1	23.4	22.8	22.5	22.3	22.2
900	563.6	510.1	462.2	418.8	379.4	343.7	311.4	281.9	255	230.4	207.9	187.3	168.6	152.5	140.7	131	122.2	114.2	107.1	100.7	94.9	89.4	84.2	79.4	74.9	70.7	66.7	63	59.6	56.4	53.4	48.1	43.5	39.6	36.3	33.5	31.1	29.2	27.5	26.2	25.2	24.3	23.7	23.3	23.1	23
960	582.7	529.1	481.1	437.5	397.7	361.5	328.6	298.5	271.1	246	222.9	201.7	182.3	164.6	149.8	139	129.7	121.3	113.7	106.8	100.7	95	89.7	84.7	79.9	75.5	71.4	67.5	63.9	60.5	57.4	51.7	46.7	42.5	38.9	35.8	33.1	30.9	29.1	27.6	26.4	25.5	24.8	24.3	24	23.9
1020	600.2	546.7	498.6	454.8	414.8	378.2	344.8	314.3	286.4	260.8	237.2	215.6	195.6	177.2	160.6	147.3	137.2	128.4	120.3	113	106.4	100.4	94.9	89.8	84.9	80.3	76	72	68.2	64.6	61.3	55.3	50	45.4	41.5	38.1	35.3	32.9	30.8	29.2	27.8	26.7	25.9	25.4	25	24.9
1080	616.5	563	515	471.1	430.9	394	360.2	329.4	301	275	251	228.8	208.4	189.5	172.3	156.6	144.7	135.3	126.9	119.2	112.2	105.8	100.1	94.8	89.7	85	80.5	76.3	72.4	68.7	65.2	58.8	53.3	48.4	44.2	40.6	37.5	34.9	32.7	30.8	29.3	28.1	27.2	26.6	26.2	26.1
1140	631.4	578.2	530.2	486.3	446	408.9	374.8	343.6	314.9	288.5	264.1	241.6	220.7	201.4	183.6	167.3	153	142.2	133.4	125.3	118	111.2	105.1	99.6	94.4	89.6	85	80.6	76.5	72.7	69	62.4	56.6	51.5	47	43.2	39.8	37	34.6	32.6	30.9	29.6	28.7	28	27.6	27.4
1200	645.4	592.4	544.5	500.6	460.2	423.1	388.7	357.2	328.2	301.5	276.7	253.8	232.6	213	194.7	177.9	162.5	149.5	139.8	131.4	123.7	116.7	110.2	104.4	99.1	94.1	89.3	84.8	80.6	76.6	72.9	66	59.9	54.6	49.9	45.8	42.2	39.2	36.6	34.4	32.7	31.3	30.2	29.4	29	28.9
1260	658.3	605.8	557.9	514.1	473.7	436.4	402	370.2	340.9	313.8	288.8	265.6	244.1	224.1	205.5	188.3	172.4	157.8	146.4	137.4	129.4	122.1	115.3	109.2	103.5	98.4	93.6	89	84.6	80.5	76.7	69.5	63.2	57.6	52.7	48.4	44.7	41.5	38.7	36.4	34.5	33	31.9	31.1	30.6	30.4
1320	670.5	618.3	570.6	526.8	486.4	449.1	414.6	382.6	353	325.7	300.4	277	255.1	234.9	216	198.4	182	167	153.6	143.4	135.1	127.4	120.4	114	108.1	102.6	97.7	93	88.6	84.4	80.4	73.1	66.5	60.7	55.6	51.1	47.2	43.8	40.9	38.5	36.5	34.9	33.6	32.8	32.2	32.1
