60	63.4	49.1	39	32.2	27.7	24.7	22.9	21.7	21	20.6	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
120	109	86.8	69.6	56.4	46.4	38.9	33.3	29.3	26.4	24.4	22.9	21.9	21.3	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
180	146.7	118.1	97.3	80.8	67.4	56.6	48	41.2	35.8	31.7	28.6	26.2	24.5	23.2	22.2	21.6	21.1	20.7	20.5	20.3	20.2	20.1	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
240	194.4	147.7	121.6	102.1	86.7	73.8	63.1	54.2	47	41.1	36.4	32.6	29.6	27.2	25.4	24	23	22.2	21.6	21.1	20.8	20.6	20.4	20.3	20.2	20.1	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
300	241.8	187	146.3	122.5	104.3	89.9	77.7	67.3	58.5	51.2	45.1	40	35.9	32.5	29.8	27.6	25.8	24.5	23.4	22.6	21.9	21.4	21.1	20.8	20.6	20.4	20.3	20.2	20.1	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
360	287.2	227.1	178.6	143.4	121.9	104.9	91.4	79.9	69.9	61.4	54.2	48	42.8	38.5	34.9	32	29.5	27.5	25.9	24.6	23.6	22.8	22.1	21.6	21.2	20.9	20.7	20.5	20.4	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20
420	329.5	265.1	212.6	169.6	139.6	120.1	104.5	91.9	81	71.5	63.3	56.3	50.2	45	40.6	36.9	33.8	31.2	29	27.3	25.8	24.6	23.6	22.9	22.2	21.7	21.3	21	20.8	20.6	20.4	20.3	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20
480	368.5	300.4	244.7	198.5	160.2	135.6	117.9	103.6	91.8	81.4	72.4	64.5	57.7	51.7	46.6	42.2	38.5	35.3	32.6	30.3	28.4	26.8	25.5	24.4	23.6	22.8	22.2	21.8	21.4	21.1	20.8	20.5	20.3	20.2	20.1	20	20	20	20	20	20	20	20	20	20	20
540	404.4	333.2	274.8	226	185.2	151.9	131.3	115.2	102.1	91	81.3	72.7	65.2	58.6	52.8	47.8	43.5	39.7	36.5	33.8	31.4	29.4	27.8	26.4	25.2	24.2	23.4	22.7	22.2	21.7	21.4	20.9	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20
600	437.3	363.7	303	252	208.9	172.4	144.8	127	112.3	100.2	89.9	80.7	72.6	65.4	59	53.5	48.6	44.4	40.7	37.5	34.7	32.3	30.3	28.6	27.1	25.9	24.8	23.9	23.2	22.6	22.1	21.4	20.9	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20
660	467.2	391.9	329.3	276.5	231.7	193.3	160.8	138.6	122.6	109.3	98.2	88.5	79.8	72.1	65.3	59.2	53.9	49.1	45	41.4	38.2	35.4	33.1	31	29.2	27.7	26.5	25.4	24.4	23.7	23	22	21.3	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20
720	494.4	418	353.8	299.4	253.1	213.3	179.1	151.1	133	118.4	106.2	96	86.9	78.8	71.5	64.9	59.1	54	49.4	45.4	41.8	38.7	36	33.7	31.6	29.8	28.3	27	25.8	24.9	24.1	22.8	21.9	21.2	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20
780	519.2	442	376.7	321.1	273.4	232.3	196.7	166.1	143.2	127.6	114.4	103.2	93.7	85.2	77.5	70.6	64.4	58.9	53.9	49.5	45.6	42.2	39.1	36.5	34.1	32.1	30.3	28.7	27.4	26.2	25.3	23.7	22.5	21.7	21.2	20.8	20.5	20.3	20.2	20.1	20.1	20.1	20	20	20	20
840	541.9	464.1	398	341.3	292.6	250.4	213.8	181.9	154.6	136.7	122.6	110.6	100.4	91.5	83.4	76.2	69.6	63.7	58.4	53.7	49.5	45.7	42.3	39.4	36.8	34.5	32.4	30.7	29.1	27.8	26.6	24.7	23.3	22.3	21.6	21.1	20.7	20.5	20.3	20.2	20.1	20.1	20.1	20	20	20
900	562.6	484.5	417.9	360.4	310.7	267.6	230	197	168.3	145.9	130.7	117.9	106.9	97.6	89.2	81.6	74.8	68.5	62.9	57.9	53.3	49.3	45.6	42.4	39.5	37	34.7	32.7	31	29.4	28.1	25.9	24.2	23	22.1	21.5	21	20.7	20.5	20.3	20.2	20.1	20.1	20.1	20	20
960	581.7	503.3	436.5	378.3	327.9	284	245.5	211.7	182	156.3	138.8	125.2	113.5	103.5	94.8	87	79.8	73.3	67.4	62.1	57.2	52.9	49	45.5	42.4	39.6	37.1	34.9	32.9	31.2	29.7	27.2	25.2	23.8	22.7	21.9	21.4	20.9	20.6	20.4	20.3	20.2	20.1	20.1	20.1	20.1
1020	599.2	520.8	453.8	395.2	344.1	299.5	260.3	225.7	195.2	168.3	147	132.4	120.1	109.4	100.3	92.2	84.7	78	71.8	66.2	61.1	56.5	52.4	48.6	45.3	42.2	39.5	37.1	35	33	31.3	28.5	26.3	24.7	23.4	22.4	21.7	21.2	20.9	20.6	20.4	20.3	20.2	20.1	20.1	20.1
1080	615.4	537	469.9	411.1	359.4	314.2	274.4	239.2	208	180.4	156.3	139.6	126.7	115.4	105.6	97.2	89.6	82.6	76.2	70.3	65	60.2	55.8	51.8	48.2	45	42	39.4	37.1	35	33.1	30	27.5	25.6	24.1	23	22.2	21.6	21.1	20.8	20.6	20.4	20.3	20.2	20.2	20.2
1140	630.3	552.2	485.1	426	374	328.3	287.9	252.1	220.3	191.9	166.9	147	133.1	121.3	111.1	102.1	94.3	87.1	80.4	74.4	68.8	63.8	59.2	55	51.2	47.7	44.6	41.8	39.3	37	35	31.5	28.8	26.6	25	23.7	22.7	22	21.4	21	20.7	20.5	20.4	20.3	20.2	20.2
1200	644.1	566.3	499.3	440.2	387.8	341.6	300.8	264.5	232.1	203.3	177.6	155.1	139.6	127.3	116.5	107	98.8	91.4	84.6	78.4	72.6	67.4	62.6	58.2	54.2	50.5	47.2	44.2	41.5	39.1	36.9	33.1	30.1	27.7	25.9	24.4	23.3	22.4	21.8	21.3	20.9	20.7	20.5	20.4	20.3	20.3
1260	657.1	579.6	512.7	453.5	401	354.4	313.1	276.4	243.6	214.2	187.9	164.5	146.1	133.1	121.8	111.9	103.3	95.7	88.7	82.3	76.4	70.9	65.9	61.3	57.1	53.3	49.8	46.7	43.8	41.2	38.8	34.8	31.5	28.9	26.8	25.2	23.9	22.9	22.2	21.6	21.2	20.9	20.7	20.5	20.4	20.4
1320	669.2	592.2	525.3	466.2	413.5	366.6	325	287.8	254.6	224.7	197.9	173.9	153.3	138.9	127.2	116.9	107.8	99.9	92.7	86.1	80	74.4	69.2	64.5	60.1	56.1	52.5	49.1	46.1	43.3	40.8	36.5	33	30.1	27.8	26	24.6	23.5	22.6	22	21.5	21.1	20.8	20.7	20.6	20.5
1380	680.5	604	537.3	478.2	425.5	378.3	336.3	298.8	265.2	235	207.7	183.2	161.4	144.7	132.5	121.8	112.3	104	96.6	89.9	83.6	77.8	72.5	67.6	63.1	58.9	55.1	51.6	48.4	45.5	42.8	38.2	34.5	31.4	28.9	26.9	25.3	24.1	23.1	22.3	21.8	21.4	21.1	20.9	20.7	20.7
1440	691.2	615.2	548.7	489.6	436.9	389.5	347.2	309.4	275.4	244.8	217.2	192.2	169.8	151	137.7	126.6	116.8	108.1	100.5	93.6	87.2	81.2	75.8	70.7	66	61.7	57.7	54.1	50.8	47.7	44.9	40	36	32.7	30	27.8	26.1	24.7	23.6	22.8	22.1	21.6	21.3	21.1	20.9	20.9
1500	701.2	625.7	559.5	500.5	447.7	400.3	357.7	319.6	285.3	254.4	226.4	201.1	178.3	157.9	142.9	131.5	121.3	112.2	104.2	97.2	90.6	84.6	78.9	73.7	68.9	64.5	60.4	56.6	53.1	49.9	47	41.9	37.6	34.1	31.2	28.8	26.9	25.4	24.2	23.2	22.5	22	21.6	21.3	21.1	21.1
1560	710.8	635.7	569.8	510.9	458.1	410.6	367.8	329.4	294.8	263.6	235.3	209.7	186.4	165.5	148.4	136.2	125.7	116.3	108	100.7	94	87.8	82.1	76.8	71.8	67.2	63	59.1	55.5	52.1	49.1	43.7	39.2	35.5	32.4	29.8	27.8	26.1	24.8	23.7	22.9	22.3	21.9	21.6	21.4	21.3
1620	719.8	645.2	579.7	520.9	468.1	420.5	377.6	338.9	304.1	272.5	244	218	194.4	173.1	154.4	140.9	130.1	120.4	111.8	104.2	97.3	91	85.2	79.7	74.6	69.9	65.6	61.5	57.8	54.4	51.2	45.6	40.8	36.9	33.6	30.9	28.7	26.9	25.4	24.3	23.4	22.7	22.2	21.9	21.7	21.6
1680	728.4	654.3	589.1	530.4	477.7	430	386.9	348.1	313	281.2	252.4	226.1	202.2	180.5	161	145.7	134.4	124.5	115.6	107.7	100.6	94.2	88.2	82.6	77.5	72.6	68.2	64	60.1	56.6	53.3	47.4	42.5	38.3	34.9	32	29.6	27.7	26.1	24.9	23.9	23.1	22.6	22.2	22	21.9
1740	736.5	662.9	598.1	539.5	486.8	439.2	396	357	321.7	289.7	260.5	234	209.8	187.8	167.8	150.9	138.8	128.6	119.4	111.1	103.8	97.3	91.2	85.5	80.2	75.3	70.7	66.4	62.5	58.8	55.4	49.3	44.2	39.8	36.2	33.1	30.6	28.5	26.8	25.5	24.4	23.6	23	22.6	22.3	22.3
1800	744.3	671.1	606.7	548.3	495.7	448	404.8	365.5	330	297.8	268.5	241.7	217.3	195	174.7	156.5	143.1	132.6	123.1	114.7	107.1	100.3	94.1	88.4	83	77.9	73.2	68.8	64.8	61	57.5	51.2	45.9	41.3	37.5	34.3	31.6	29.4	27.6	26.1	25	24.1	23.4	23	22.7	22.6
1860	751.8	679	615	556.7	504.2	456.6	413.3	373.9	338.2	305.8	276.2	249.2	224.6	202	181.3	162.7	147.6	136.5	126.8	118.1	110.3	103.3	97	91.1	85.6	80.5	75.7	71.2	67.1	63.2	59.6	53.1	47.6	42.9	38.8	35.5	32.7	30.3	28.4	26.8	25.6	24.6	23.9	23.4	23.1	23.1
1920	758.9	686.6	622.9	564.9	512.4	464.8	421.5	382	346.1	313.5	283.7	256.5	231.6	208.8	187.9	168.9	152.5	140.5	130.6	121.6	113.5	106.3	99.8	93.9	88.3	83.1	78.2	73.6	69.4	65.4	61.7	55	49.3	44.4	40.2	36.7	33.7	31.3	29.2	27.6	26.2	25.2	24.4	23.9	23.6	23.5
1980	765.8	693.8	630.6	572.7	520.3	472.8	429.4	389.8	353.8	321	291	263.6	238.5	215.5	194.4	175.1	157.6	144.4	134.2	125.1	116.8	109.3	102.6	96.6	90.9	85.6	80.6	76	71.6	67.5	63.7	56.9	51	45.9	41.6	37.9	34.8	32.2	30.1	28.3	26.9	25.8	25	24.4	24.1	24
2040	772.3	700.8	637.9	580.3	528	480.4	437.1	397.4	361.2	328.3	298.2	270.6	245.3	222.1	200.7	181.1	163.3	148.6	137.8	128.5	120	112.3	105.4	99.2	93.5	88.1	83	78.3	73.8	69.7	65.8	58.8	52.7	47.5	43	39.2	35.9	33.2	31	29.1	27.6	26.4	25.6	25	24.6	24.5
2100	778.7	707.5	645	587.6	535.4	487.9	444.5	404.8	368.5	335.4	305.1	277.4	251.9	228.5	206.9	187	168.9	153.1	141.4	131.9	123.2	115.3	108.2	101.8	96	90.5	85.4	80.6	76.1	71.8	67.9	60.7	54.5	49.1	44.4	40.5	37.1	34.2	31.9	29.9	28.4	27.1	26.2	25.5	25.2	25
2160	784.8	714	651.8	594.7	542.6	495.1	451.7	412	375.6	342.3	311.9	284	258.3	234.7	213	192.9	174.6	157.9	145.1	135.2	126.4	118.3	111	104.4	98.5	93	87.7	82.8	78.3	73.9	69.9	62.6	56.2	50.6	45.9	41.7	38.2	35.3	32.8	30.8	29.1	27.8	26.8	26.2	25.8	25.6
2220	790.6	720.2	658.4	601.5	549.5	502.1	458.7	419	382.5	349.1	318.5	290.5	264.6	240.9	218.9	198.7	180.1	163.1	149	138.5	129.5	121.3	113.8	107	100.9	95.3	90.1	85.1	80.4	76	71.9	64.4	57.9	52.2	47.3	43	39.4	36.3	33.8	31.6	29.9	28.5	27.5	26.8	26.4	26.2
2280	796.3	726.3	664.8	608.2	556.2	508.9	465.6	425.8	389.2	355.7	325	296.8	270.8	246.9	224.8	204.3	185.5	168.2	153.2	141.9	132.7	124.2	116.6	109.6	103.3	97.7	92.3	87.3	82.6	78.1	73.9	66.3	59.6	53.8	48.7	44.4	40.6	37.4	34.8	32.5	30.7	29.3	28.2	27.5	27	26.9
2340	801.8	732.1	670.9	614.6	562.8	515.5	472.2	432.4	395.7	362.1	331.3	303	276.8	252.7	230.5	209.9	190.9	173.4	157.5	145.3	135.7	127.2	119.4	112.2	105.8	100	94.6	89.5	84.7	80.2	75.9	68.2	61.4	55.4	50.2	45.7	41.8	38.5	35.8	33.5	31.6	30.1	29	28.2	27.7	27.6
2400	807.1	737.7	676.9	620.8	569.2	521.9	478.6	438.8	402.1	368.4	337.5	309	282.8	258.5	236.1	215.4	196.2	178.4	162.3	148.8	138.8	130.1	122.1	114.8	108.2	102.2	96.8	91.6	86.8	82.2	77.9	70	63.1	57	51.7	47	43.1	39.7	36.8	34.4	32.5	30.9	29.7	28.9	28.4	28.3
2460	812.2	743.2	682.7	626.9	575.3	528.2	484.9	445.1	408.4	374.6	343.5	314.9	288.5	264.2	241.6	220.7	201.3	183.4	167	152.7	141.9	133	124.9	117.4	110.7	104.6	99	93.8	88.8	84.2	79.8	71.8	64.8	58.6	53.1	48.4	44.3	40.8	37.9	35.4	33.4	31.8	30.5	29.7	29.2	29
2520	817.2	748.5	688.3	632.7	581.4	534.3	491	451.2	414.5	380.6	349.4	320.7	294.2	269.7	247	226	206.5	188.4	171.8	156.6	145	135.9	127.6	120	113.1	106.8	101.1	95.9	90.9	86.2	81.8	73.7	66.5	60.1	54.6	49.8	45.6	42	38.9	36.4	34.3	32.6	31.4	30.5	29.9	29.8
