1140	629.3	527.4	443.8	373.1	313.5	263	219.8	182.9	152.4	132.9	117.5	104.7	94.1	84.6	76.2	68.7	62.1	56.2	51.1	46.6	42.6	39.2	36.2	33.7	31.5	29.6	28	26.6	25.5	24.5	23.7	22.4	21.6	21	20.6	20.4	20.2	20.1	20.1	20	20	20	20	20	20	20
1200	643.1	541.5	457.9	386.9	326.7	275.5	231.7	193.9	161.7	139.3	123.3	109.9	98.7	89	80.3	72.5	65.6	59.5	54.1	49.3	45.1	41.4	38.2	35.5	33.1	31	29.2	27.7	26.4	25.3	24.4	23	22	21.3	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20
1260	656	554.8	471.2	400	339.3	287.5	243	204.6	171.5	145.9	129	114.9	103.1	93.2	84.2	76.2	69.1	62.7	57	52	47.6	43.7	40.3	37.3	34.7	32.5	30.5	28.9	27.4	26.2	25.2	23.5	22.4	21.6	21	20.7	20.4	20.3	20.2	20.1	20.1	20	20	20	20	20
1320	668	567.3	483.8	412.5	351.4	299.1	254	215	181.3	153	134.6	120	107.6	97.3	88.1	79.9	72.5	65.9	60	54.8	50.1	46	42.4	39.2	36.4	34	31.9	30.1	28.5	27.1	26	24.2	22.8	21.9	21.3	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20
1380	679.4	579.1	495.8	424.4	362.9	310.2	264.6	225.1	190.6	161	140.1	125	112.1	101.3	91.9	83.5	75.9	69.1	63	57.5	52.7	48.3	44.5	41.2	38.2	35.6	33.3	31.3	29.6	28.1	26.9	24.8	23.3	22.3	21.5	21	20.7	20.4	20.3	20.2	20.1	20.1	20	20	20	20
1440	690	590.2	507.1	435.7	374	320.8	274.8	234.8	199.8	169.4	145.8	129.9	116.6	105.2	95.6	87	79.2	72.2	65.9	60.3	55.2	50.7	46.7	43.1	40	37.2	34.8	32.7	30.8	29.2	27.8	25.5	23.9	22.7	21.8	21.2	20.8	20.5	20.3	20.2	20.1	20.1	20.1	20	20	20
1500	700	600.8	517.9	446.5	384.6	331	284.6	244.1	208.7	177.8	152	134.9	121.1	109.3	99.3	90.5	82.5	75.3	68.8	63	57.7	53	48.8	45.1	41.8	38.9	36.3	34	32	30.3	28.8	26.3	24.5	23.1	22.2	21.5	21	20.7	20.4	20.3	20.2	20.1	20.1	20	20	20
1560	709.5	610.9	528.2	456.8	394.8	340.9	294.1	253.3	217.5	186	158.7	139.7	125.5	113.3	102.8	93.9	85.7	78.4	71.7	65.7	60.2	55.4	51	47.1	43.6	40.6	37.8	35.4	33.3	31.4	29.8	27.1	25.1	23.6	22.5	21.8	21.2	20.8	20.5	20.4	20.2	20.1	20.1	20.1	20	20
1620	718.5	620.5	538	466.7	404.6	350.4	303.3	262.1	225.9	194	166.1	144.6	129.9	117.2	106.5	97.2	88.9	81.4	74.5	68.3	62.8	57.7	53.2	49.1	45.5	42.3	39.4	36.8	34.6	32.6	30.8	28	25.8	24.1	22.9	22.1	21.4	21	20.7	20.4	20.3	20.2	20.1	20.1	20.1	20.1
1680	727	629.6	547.5	476.2	414	359.6	312.2	270.6	234	201.7	173.3	150	134.2	121.2	110	100.4	92	84.3	77.3	71	65.2	60.1	55.4	51.2	47.4	44	41	38.3	35.9	33.8	31.9	28.8	26.5	24.7	23.4	22.4	21.7	21.2	20.8	20.5	20.4	20.2	20.2	20.1	20.1	20.1
1740	735.2	638.3	556.5	485.4	423.1	368.5	320.8	279	242	209.4	180.6	155.5	138.5	125.2	113.6	103.6	95	87.2	80.1	73.6	67.7	62.4	57.5	53.2	49.3	45.7	42.6	39.8	37.2	35	33	29.8	27.2	25.3	23.8	22.7	21.9	21.3	20.9	20.6	20.4	20.3	20.2	20.1	20.1	20.1
1800	742.9	646.6	565.2	494.2	431.9	377.2	329.2	287	249.8	216.8	187.5	161.8	142.8	129.1	117.2	106.9	98.1	90.1	82.8	76.2	70.2	64.7	59.7	55.2	51.1	47.5	44.2	41.2	38.6	36.3	34.2	30.7	28	25.9	24.3	23.1	22.2	21.6	21.1	20.8	20.5	20.4	20.2	20.2	20.1	20.1
1860	750.3	654.6	573.5	502.6	440.4	385.5	337.3	294.9	257.3	224	194.4	168.2	147.3	132.9	120.7	110.1	101	92.9	85.5	78.8	72.6	67	61.9	57.2	53	49.2	45.8	42.8	40	37.5	35.4	31.7	28.8	26.5	24.8	23.5	22.5	21.8	21.3	20.9	20.6	20.4	20.3	20.2	20.2	20.2
1920	757.5	662.2	581.5	510.8	448.6	393.6	345.2	302.5	264.7	231	201.1	174.6	152.1	136.8	124.3	113.3	103.9	95.6	88.1	81.3	75	69.2	64	59.2	54.9	51	47.5	44.3	41.4	38.8	36.5	32.7	29.6	27.2	25.3	23.9	22.9	22.1	21.5	21	20.7	20.5	20.4	20.3	20.2	20.2
1980	764.3	669.5	589.3	518.6	456.4	401.4	352.8	309.9	271.8	238	207.8	180.9	157.3	140.6	127.8	116.6	106.9	98.4	90.8	83.8	77.4	71.5	66.1	61.2	56.8	52.8	49.1	45.8	42.8	40.2	37.8	33.7	30.4	27.9	25.9	24.4	23.2	22.3	21.7	21.2	20.9	20.6	20.4	20.3	20.3	20.2
2040	770.8	676.5	596.7	526.2	464.1	409	360.2	317.1	278.8	244.7	214.2	187	162.9	144.4	131.3	119.8	109.8	101.1	93.3	86.2	79.7	73.7	68.2	63.2	58.7	54.5	50.8	47.4	44.3	41.5	39	34.7	31.3	28.6	26.5	24.8	23.6	22.6	21.9	21.4	21	20.7	20.5	20.4	20.3	20.3
2100	777.1	683.3	603.9	533.5	471.5	416.4	367.5	324.1	285.6	251.3	220.5	193	168.5	148.6	134.7	123	112.7	103.7	95.8	88.6	82	75.9	70.3	65.2	60.6	56.3	52.4	48.9	45.7	42.8	40.2	35.8	32.2	29.3	27.1	25.3	24	22.9	22.1	21.6	21.1	20.8	20.6	20.5	20.4	20.4
2160	783.2	689.8	610.9	540.6	478.6	423.5	374.5	331	292.3	257.7	226.7	198.9	174.1	152.9	138.2	126.2	115.6	106.4	98.4	91	84.3	78.1	72.4	67.2	62.4	58.1	54.1	50.5	47.2	44.2	41.5	36.8	33.1	30.1	27.7	25.8	24.4	23.3	22.4	21.8	21.3	20.9	20.7	20.5	20.5	20.4
2220	789	696.1	617.6	547.5	485.6	430.5	381.3	337.7	298.7	264	232.8	204.8	179.7	157.5	141.5	129.3	118.5	109	100.8	93.4	86.6	80.3	74.5	69.2	64.3	59.8	55.7	52	48.6	45.5	42.7	37.9	34	30.9	28.4	26.4	24.8	23.6	22.7	22	21.5	21.1	20.8	20.6	20.5	20.5
2280	794.7	702.2	624.1	554.2	492.4	437.3	388	344.2	305.1	270.1	238.7	210.4	185	162.5	145	132.4	121.4	111.7	103.2	95.7	88.8	82.4	76.5	71.1	66.1	61.6	57.4	53.6	50.1	46.9	44	39	35	31.7	29	26.9	25.3	24	23	22.2	21.6	21.2	20.9	20.7	20.6	20.6
2340	800.1	708.1	630.3	560.7	498.9	443.8	394.5	350.5	311.3	276.1	244.5	216	190.4	167.4	148.7	135.5	124.2	114.3	105.6	98	91	84.5	78.5	73	68	63.3	59	55.1	51.5	48.3	45.3	40.1	35.9	32.5	29.7	27.5	25.7	24.3	23.3	22.5	21.8	21.4	21.1	20.9	20.7	20.7
2400	805.4	713.8	636.4	567	505.3	450.2	400.9	356.8	317.3	282	250.2	221.5	195.6	172.4	152.5	138.6	127.1	117	108	100.2	93.1	86.6	80.5	74.9	69.8	65	60.7	56.7	53	49.6	46.6	41.3	36.9	33.3	30.4	28.1	26.2	24.7	23.6	22.7	22.1	21.6	21.2	21	20.8	20.8
2460	810.5	719.3	642.3	573.1	511.5	456.5	407.1	362.8	323.3	287.7	255.7	226.9	200.9	177.4	156.6	141.6	130	119.6	110.5	102.4	95.2	88.6	82.5	76.8	71.6	66.7	62.3	58.2	54.5	51	47.9	42.4	37.9	34.1	31.1	28.7	26.7	25.2	23.9	23	22.3	21.7	21.4	21.1	21	20.9
2520	815.5	724.6	648.1	579.1	517.6	462.5	413.1	368.8	329.1	293.4	261.2	232.2	205.9	182.2	161	144.7	132.8	122.2	112.9	104.6	97.4	90.7	84.4	78.7	73.4	68.5	63.9	59.7	55.9	52.4	49.2	43.5	38.8	35	31.8	29.3	27.2	25.6	24.3	23.3	22.5	21.9	21.5	21.3	21.1	21
2580	820.3	729.8	653.6	584.9	523.4	468.5	419	374.6	334.7	298.9	266.6	237.4	210.9	187	165.5	148	135.5	124.8	115.3	106.9	99.4	92.7	86.4	80.5	75.1	70.1	65.5	61.3	57.4	53.8	50.5	44.7	39.8	35.9	32.6	29.9	27.7	26	24.7	23.6	22.8	22.2	21.7	21.4	21.2	21.2
2640	825	734.9	659	590.5	529.2	474.2	424.8	380.3	340.3	304.3	271.8	242.5	215.8	191.7	169.9	151.5	138.4	127.5	117.7	109.1	101.5	94.6	88.3	82.4	76.9	71.8	67.1	62.8	58.8	55.1	51.8	45.8	40.9	36.7	33.3	30.5	28.3	26.5	25	23.9	23	22.4	21.9	21.6	21.4	21.3
2700	829.5	739.8	664.3	596.1	534.8	479.9	430.4	385.8	345.7	309.6	277	247.5	220.7	196.3	174.4	155	141.1	130	120.1	111.3	103.5	96.6	90.1	84.2	78.6	73.5	68.7	64.3	60.3	56.5	53.1	47	41.9	37.6	34.1	31.2	28.9	27	25.4	24.2	23.3	22.6	22.1	21.8	21.6	21.5
2760	833.9	744.6	669.4	601.4	540.3	485.4	436	391.3	351.1	314.8	282.1	252.4	225.4	201	178.7	158.8	143.9	132.6	122.5	113.5	105.6	98.5	92	86	80.4	75.2	70.3	65.8	61.7	57.9	54.4	48.1	42.9	38.5	34.9	31.9	29.4	27.4	25.8	24.6	23.6	22.9	22.3	21.9	21.7	21.7
2820	838.2	749.2	674.4	606.7	545.6	490.8	441.3	396.6	356.3	319.9	287.1	257.2	230.1	205.5	183	162.9	146.8	135.1	124.9	115.7	107.6	100.4	93.9	87.8	82.1	76.8	71.9	67.3	63.1	59.2	55.7	49.3	43.9	39.4	35.7	32.6	30	27.9	26.3	24.9	23.9	23.1	22.5	22.1	21.9	21.8
2880	842.3	753.8	679.3	611.8	550.8	496	446.6	401.9	361.4	325	291.9	262	234.7	209.9	187.3	166.9	149.8	137.6	127.3	118	109.7	102.3	95.6	89.5	83.8	78.4	73.5	68.8	64.6	60.6	56.9	50.5	45	40.3	36.5	33.2	30.6	28.4	26.7	25.3	24.2	23.4	22.8	22.4	22.1	22
